Deliverable,Task to be done,Assignee,Start Date,Planned Due Date,Due Date,Customer,Task Type,Status,Remarks,Completed,Reviewer,Client rework count,Tentative Time,Last edited time,Internal rework count,Completion Date,Created Time
Responsibility Matrix Meeting,Finalize RM and setup OSH Portal and Finalize Trainings Schedule,U08MDDVKE1X,2026-03-09,2026-03-13,2026-03-20,Bridgestone,BAU,Yet to start,,false,,0,2,1773574147,0,,2026-02-04
Cadence call with Pratiksha,Cadence call with Pratiksha,U06LK54V5EF,2026-02-09,,2026-02-19,Rustomjee,BAU,Completed,,false,,0,1,1771484138,0,2026-02-19,2026-02-04
Cadence call with Rohan,Cadence call with Rohan,U06LK54V5EF,2026-02-09,,2026-03-17,ADF,BAU,Completed,,false,,0,1,1773733181,0,2026-03-17,2026-02-04
Project kickoff Meeting,Share RM,U08MDDVKE1X,2026-02-23,,2026-02-24,Manan (Dee Piping),BAU,Completed,,true,,0,3,1771857908,0,2026-02-23,2026-02-04
Project Kickoff Meeting,"• Share RM
• Project Plan",U08MDDVKE1X,2026-03-09,2026-03-11,2026-03-18,Bridgestone,BAU,Completed,,true,,0,3,1773897117,0,2026-03-19,2026-02-04
BSI training material,"Update training material for BSI, as per departments in RM",U0877RUHX4M,2026-02-10,,2026-02-18,BSI,BAU,Completed,link,false,,0,1,1771776786,0,2026-02-20,2026-02-04
Double Materiality Assessment,"Check responses on survey, provide an synopsis",U0877RUHX4M,2025-10-14,,2026-02-18,MaxLife,BAU,Completed,,false,,0,1,1771518833,0,2026-02-19,2026-02-04
CBAM understanding,Understand the compliance requirements under CBAM,U0877RUHX4M,2026-02-02,,2026-02-13,Internal,BAU,Completed,,true,,0,3,1771210045,0,2026-02-16,2026-02-04
All clients data monitor and followups,Check all clients data till date and follow ups,U06LK54V5EF,2026-02-09,,2026-02-24,Internal,BAU,Completed,,false,,0,3,1771484449,0,2026-02-19,2026-02-04
Calculate GHG emissions for CBAM,"CBAM -
1. Identify quantity of goods in installation boundary
2. Calculate scope 1 (all)
3. Calculate scope 2 (market based)
4. Create CBAM Report
",U0877RUHX4M,2026-03-23,,2026-04-16,Bajaj Auto,BAU,Yet to start,,false,,0,8,1773642219,0,,2026-02-04
Calculate scope 3,Data collection and calculations,U0877RUHX4M,2026-03-23,,2026-04-16,Swasthi,BAU,Yet to start,,false,,0,7,1773642232,0,,2026-02-04
Calculate scope 1 and 2,Data collection and calculations,U0877RUHX4M,2026-03-17,,2026-04-09,Swasthi,BAU,Yet to start,,false,,0,5,1773642205,0,,2026-02-04
Conclude Materiality,update matrix,U0877RUHX4M,2026-02-04,,2026-02-05,Calibre,BAU,Completed,Link,true,,0,1,1770606158,0,2026-02-08,2026-02-04
Prataap- Data Review Session,Prataap- Data Review Session,U06LK54V5EF,2026-02-03,,2026-02-03,Pratap Snacks,New,Completed,,false,,0,3,1770119256,0,2026-02-03,2026-02-03
ADF Foods data entry,Enter ADF food October-January data on OSH,U06LK54V5EF,2026-02-15,,2026-02-20,ADF,BAU,Completed,,false,,0,3,1771484161,0,2026-02-19,2026-02-03
Calibre SR,"• Add index post confirmation
• Change numbers to be consistent with updapt",U0877RUHX4M,2026-02-10,,2026-02-11,Calibre,BAU,Completed,,false,,0,2,1770988658,0,2026-02-13,2026-02-02
Update project plans,For all clients,U0877RUHX4M,2026-02-23,,2026-03-05,Internal,BAU,Completed,,false,,0,1,1772862344,0,2026-03-07,2026-02-02
Configure OSH,OSH Configuration for BSI - GRI,U08MDDVKE1X,2026-02-03,,2026-02-19,BSI,BAU,Completed,,true,,0,2,1771483471,0,2026-02-19,2026-02-02
Canara HSBC training,Finance/IT training,U0877RUHX4M,2026-02-13,,2026-03-11,Canara HSBC,BAU,Completed,,false,,0,1.5,1773312762,0,2026-03-12,2026-02-02
Canara HSBC training,Compliance/ legal/ CG training,U0877RUHX4M,2026-02-12,,2026-02-26,Canara HSBC,BAU,Completed,,false,,0,1.5,1772192553,0,2026-02-27,2026-02-02
Canara HSBC training,Procurement/marketing/csr training,U0877RUHX4M,2026-02-11,,2026-02-26,Canara HSBC,BAU,Completed,,false,,0,1.5,1772192549,0,2026-02-27,2026-02-02
Canara HSBC training,Admin training,U0877RUHX4M,2026-02-13,,2026-02-12,Canara HSBC,BAU,Completed,,false,,0,2,1773125734,0,2026-02-13,2026-02-02
Canara HSBC training,HR training,U0877RUHX4M,2026-02-12,,2026-02-12,Canara HSBC,BAU,Completed,,false,,0,2,1771217562,0,2026-02-13,2026-02-02
OSH configuration,"Confirm RM , platform setup",U06LK54V5EF,2026-02-03,,2026-02-25,Canara HSBC,BAU,Completed,,false,,0,2,1772025492,0,2026-02-25,2026-02-02
Policy Review,"• Review the shared policies 
• Create any additional policies",U0877RUHX4M,2026-02-23,,2026-03-16,Canara HSBC,BAU,Completed,Clients delay in sharing policies,false,,0,6,1773755744,0,2026-03-17,2026-02-02
Scope 3 corner cases,Create 10 cases,U0877RUHX4M,2026-02-11,,2026-02-12,Internal,BAU,Completed,Link,true,,0,1.5,1771210053,0,2026-02-16,2026-02-02
CSRD requirement excel,Prepare the excel for the requirements of Env indicators (ESRS E1-5),U0877RUHX4M,2026-02-10,,2026-02-13,Internal,BAU,Completed,Link,true,,0,7,1771210061,0,2026-02-16,2026-02-02
EcoVadis Custom GPT,"1.Create and test gpt for SR aligned with EcoVadis req.
2. Input will be BRSR report",U0877RUHX4M,2026-02-16,,2026-03-06,Internal,BAU,Completed,,false,,0,5,1772862398,0,2026-03-07,2026-02-02
Update EcoVadis checklist,add policies section,U0877RUHX4M,2026-02-09,,2026-02-16,Internal,BAU,Completed,Link,false,,0,4,1771595796,0,2026-02-20,2026-02-02
Review Data and JW Marriott Visit,JW Marriott Visit - Wednesday,U08MDDVKE1X,2026-02-05,,2026-02-11,Ventive,BAU,Completed,,true,,0,3,1770813789,0,2026-02-11,2026-02-01
Custom Report and Power BI linkage,Custom Report and Power BI linkage - Along with Sharun,U08MDDVKE1X,2026-02-02,,2026-02-13,Garware,New,Completed,,true,,0,3,1770985947,0,2026-02-13,2026-02-01
Aram IR,Draft Natural Capital Section,U08MDDVKE1X,2026-02-02,,2026-02-05,Aram,BAU,Completed,,true,,0,2,1770367995,0,2026-02-06,2026-02-01
Infra.market meeting,"1. Present project status
2. Align on BRSR deadline
3. Create systems for the timely filling and reviewing (cadence call)
",U0877RUHX4M,2026-01-30,,2026-01-30,Infra.Market,BAU,Completed,,true,,0,4,1769942095,0,,2026-02-01
Calibre meeting (for all deliverables),"1. Provide a status update and discuss on completed SOW
2. Note changes to made to ESG Board deck, Materiality assessment, others
3. Create MOM with timelines for the upcoming minor tasks",U0877RUHX4M,2026-01-29,,2026-01-29,Calibre,BAU,Completed,,true,,0,8,1769942168,0,,2026-02-01
Croda Final Check,Detailing of the dashboard and missing TF linkage,U08MDDVKE1X,2026-02-02,,2026-02-06,Croda,BAU,Completed,,false,,0,2,1770554848,0,2026-02-08,2026-02-01
Scope 3 Accounting,Document it down in form of a case study How Croda Scope 3 Upstream and Downstream was done,U08MDDVKE1X,2026-02-23,,2026-02-13,Internal,New,Completed,"Just define all keywords like “TH”, “ICT”
Link",true,UJ9KR034Z,0,5,1771476768,0,2026-02-19,2026-02-01
Scope 3 Accounting,"1st Case - Garware, 2nd case Rustomjee , do the activity based calculations for Purchased Goods, Fuel to tank emissions and waste disposal",U08MDDVKE1X,2026-02-10,2026-02-13,2026-03-31,Internal,New,In process,Not done due to ecoinvent database not available,false,,0,5,1773716136,0,,2026-02-01
Build expertise in Supply Chain Sustainability,Create a SCS pack and link it to slack,U08MDDVKE1X,2026-02-09,2026-03-13,2026-03-13,Internal,New,Completed,,true,,0,4,1773411526,0,2026-03-13,2026-02-01
Build expertise in Supply Chain Sustainability,Supplier Scoring Mechanism understanding - Understand and Upgrade  the scoring logic,U08MDDVKE1X,2026-02-24,2026-03-20,2026-03-20,Internal,New,Yet to start,,false,,0,5,1773164387,0,,2026-02-01
Build expertise in Supply Chain Sustainability,Figure out and finalize a Call automation solution,U08MDDVKE1X,2026-02-17,2026-03-27,2026-03-27,Internal,New,Yet to start,,false,,0,4,1773164407,0,,2026-02-01
Build expertise in Supply Chain Sustainability,Develop a training module (ppt/doc) for vendor training (BRSR Core),U08MDDVKE1X,2026-02-23,2026-03-12,2026-03-20,Internal,New,Yet to start,Link,false,UJ9KR034Z,0,6,1773716254,0,,2026-02-01
Build expertise in Supply Chain Sustainability,Develop and document an automated Vendor followup process,U08MDDVKE1X,2026-02-16,,2026-02-13,Internal,New,Completed,Link,false,"UJ9KR034Z,U0960SQTB25",0,2,1771390191,0,2026-02-18,2026-02-01
Build expertise in Supply Chain Sustainability,First time acceptance of Kickoff Module (PPT/Doc) and Selection Criteria from internal team,U08MDDVKE1X,2026-02-16,,2026-02-18,Internal,New,Completed,"Supplier Selection Criteria
Kickoff Module",true,"U0960SQTB25,UJ9KR034Z",0,5,1771584703,0,2026-02-20,2026-02-01
Deliverables deck with SOW,Add all the things completed so far,U0877RUHX4M,2026-02-03,,2026-02-10,Calibre,BAU,Completed,,false,,0,4,1770988648,0,2026-02-13,2026-01-31
GHG Doc,"S 1,2,3 with updated EF",U0877RUHX4M,2026-02-02,,2026-02-05,Calibre,BAU,Completed,Link,true,,0,2,1770606128,0,2026-02-08,2026-01-31
Update MIS and ESG Governance framework,Add a few KPIs and charts,U0877RUHX4M,2026-02-02,,2026-02-05,Calibre,BAU,Completed,,true,,0,2,1770563155,0,2026-02-08,2026-01-31
Calibre Board PPT,"Add HSE, CSR, along with tables for all KPIs",U0877RUHX4M,2026-02-02,,2026-02-03,Calibre,BAU,Completed,,true,,0,4,1770563129,0,2026-02-06,2026-01-31
Climate Risk Report,Address comments given by Kushagra,U0877RUHX4M,2026-01-27,,2026-02-06,BSI,BAU,Completed,Link,true,U0960SQTB25,0,1,1770609617,0,2026-02-09,2026-01-28
Complete data collection for Arene,Complete data collection for Arene,U06LK54V5EF,2026-01-28,,2026-02-10,Arene,,Completed,,false,,0,1,1770782017,0,2026-02-11,2026-01-28
Create materiality matrix for ADP,Create materiality matrix for ADP,U06LK54V5EF,2026-01-28,,2026-02-06,Abu Dhabi Precast,,Completed,,false,,0,4,1773222987,0,2026-01-29,2026-01-28
Take Learning Pod and ensure 4/5 score on session feedback,Take Learning Pod and ensure 4/5 score on session feedback,U06LK54V5EF,2026-01-28,,2026-02-06,Internal,,Completed,,false,,0,1,1770609952,0,2026-02-09,2026-01-28
Ensure 50% + queries resolve through Chat-Bot,Ensure 50% + queries resolve through Chat-Bot,U06LK54V5EF,2026-01-28,,2026-03-31,Internal,BAU,Yet to start,,false,,0,1,1773223555,0,,2026-01-28
Complete Prod Issue Excel Pivot and Update sheets,Complete Prod Issue Excel Pivot and Update sheets,U06LK54V5EF,2026-01-19,,2026-01-23,Internal,New,Completed,,false,,0,3,1769490093,0,2026-01-27,2026-01-27
Call with BNV Durga Sir,Help durga sir to fill data on OSH for Eco Vadies Submission,U06LK54V5EF,2026-01-19,,2026-01-23,Arene,BAU,Completed,,false,,0,2,1773223636,0,2026-01-27,2026-01-27
Call with Aakriti,Meeting with Aakriti on the current data status of Yellow Diamond,U06LK54V5EF,2026-01-19,,2026-01-23,Arene,BAU,Completed,,false,,0,2,1773223633,0,2026-01-27,2026-01-27
Cadence call with pratiksha,Conduct monthly cadence call with Pratiksha,U06LK54V5EF,2026-01-19,,2026-01-23,Rustomjee,BAU,Completed,,false,,0,1,1773223630,0,2026-01-27,2026-01-27
All clients data monitor and followups,Check all clients data till date and follow ups,U06LK54V5EF,2026-02-16,,2026-02-17,Internal,BAU,Completed,,false,,0,3,1771323461,0,2026-02-17,2026-01-27
Update Project Plans,Update all clients project plans,U06LK54V5EF,2026-01-19,,2026-01-23,Internal,BAU,Completed,,false,,0,1,1773223625,0,2026-01-27,2026-01-27
Chatbot Q&A,Add new Q&A to chatbot file,U06LK54V5EF,2026-01-19,,2026-01-23,Internal,BAU,Completed,,false,,0,3,1773223622,0,2026-01-27,2026-01-27
Eco Vadies Custom GTP,Discuss with Olivia for Custom GTP of Eco Vadies,U06LK54V5EF,2026-01-27,,2026-02-19,Internal,New,Completed,,false,,0,2,1771517255,0,2026-02-19,2026-01-27
Follow up with NItin Bhor for data approval,Follow up with NItin Bhor for data approval,U06LK54V5EF,2026-01-27,,2026-03-23,Rustomjee,BAU,Yet to start,,false,,0,0.05,1774018161,0,,2026-01-27
Collect list of Suppliers from TCIL,Get the list of Suppliers contributing more than 2% of TCIL from Yash,U06LK54V5EF,2026-01-27,,2026-02-20,TCIL,BAU,Completed,,false,,0,0.05,1771484485,0,2026-02-19,2026-01-27
Climate Risk policy,Review the policy n share with Kushagra,U0877RUHX4M,2026-01-27,,2026-03-10,BSI,BAU,Completed,Link,false,U0960SQTB25,0,2.5,1773412956,0,2026-03-13,2026-01-27
Check Air Emission function on OSH,Check Air Emission functionality on OSH for 12 months,U06LK54V5EF,2026-01-27,,2026-02-05,Internal,New,Completed,,false,,0,3,1770351115,0,2026-02-06,2026-01-27
Update RM,Update the RM,U06LK54V5EF,2026-01-27,,2026-02-02,Internal,BAU,Completed,,false,,0,2,1770021277,0,2026-02-02,2026-01-27
Air Emissions and Fugitive Emissions,Ventive and Garware,U08MDDVKE1X,2026-01-27,,2026-02-13,Ventive,BAU,Completed,,true,,0,2,1770813808,0,2026-02-11,2026-01-27
Report Writing,Aram Report,U08MDDVKE1X,2026-01-27,,2026-01-30,Aram,BAU,Completed,,true,,0,7,1769771293,0,2026-01-30,2026-01-26
Update project plans,"Update plans for infra, calibre, BSI, AMLI, Canara hsbc ",U0877RUHX4M,2026-01-26,,2026-02-05,Internal,BAU,Completed,For all clients ,true,,0,1,1770563131,0,2026-02-08,2026-01-26
Finalise CBUAE response,Entire doc,U0877RUHX4M,2026-01-20,,2026-01-30,BSI,BAU,Completed,,true,,0,3,1769942112,0,2026-02-01,2026-01-26
Canara Kick off,"• Project kick off meeting
• RM discussions ",U0877RUHX4M,2026-01-23,,2026-01-23,Canara HSBC,BAU,Completed,,false,,0,3,1769170969,0,,2026-01-23
ESG Maturity Assessment,Review Assessment Report,UJ9KR034Z,,,2026-01-19,PMI,BAU,Completed,Link,false,U0960SQTB25,0,0.5,1773715740,0,2026-03-17,2026-01-19
Follow up with Rohan for remaining data,Follow up with Rohan for Nov-December BRSR data,U06LK54V5EF,2026-01-19,,2026-03-16,ADF,BAU,Completed,,false,,0,0.05,1773720148,0,2026-03-17,2026-01-19
Follow up with Vivek,Follow up with Vivek for 25-26 data entry,U06LK54V5EF,2026-01-19,,2026-03-23,PSP,BAU,Yet to start,,false,,0,0.5,1774018156,0,,2026-01-19
All clients data monitor and followups,Check all clients data till date and follow ups,U06LK54V5EF,2026-01-19,,2026-01-23,Internal,BAU,Completed,,false,,0,3,1769489272,0,2026-01-27,2026-01-19
Croda PCF Data,"• Packaging Materials Quantity
• Emission factor for refrigerants",U08MDDVKE1X,2026-01-19,,2026-01-29,Croda,BAU,Completed,,false,,0,3,1769778178,0,2026-01-30,2026-01-18
Alliance Report Writing,Draft IR Sections,U08MDDVKE1X,2026-01-19,,2026-01-22,Alliance,BAU,Completed,,true,,0,6,1769173968,0,2026-01-23,2026-01-18
PMI Env section,Gap analysis for environment,U0877RUHX4M,2026-01-19,,2026-01-21,PMI,BAU,Completed,,false,,0,3,1768827393,0,2026-01-19,2026-01-17
Chatbot Q&A,Add additional Q&A on chatbot document file,U06LK54V5EF,2026-01-16,,2026-01-16,Internal,New,Completed,,false,,0,3,1768567166,0,2026-01-16,2026-01-16
Finalise QCB response,Section 1 and 2,U0877RUHX4M,2026-01-20,,2026-01-30,BSI Qatar,BAU,Completed,,true,,0,3,1769939738,0,2026-02-01,2026-01-16
Infra HSE training and Config,Infra HSE training and Config,U06LK54V5EF,2026-01-12,,2026-01-29,Infra.Market,BAU,Completed,,false,,0,3,1769762462,0,2026-01-30,2026-01-12
Croda PCF,,U08MDDVKE1X,,,2026-01-15,Croda,,Completed,,true,,0,3.5,1768740304,0,2026-01-18,2026-01-12
ADF report generation,download ADF report till date and send to mam,U06LK54V5EF,2026-01-09,,2026-01-09,ADF,BAU,Completed,,false,,0,2,1768191183,0,2026-01-12,2026-01-12
Cadence call with Pratiksha,Support pratiksha on downloading till date report,U06LK54V5EF,2026-01-09,,2026-01-12,Rustomjee,BAU,Completed,,false,,0,1,1768535984,0,2026-01-16,2026-01-12
EcoVadis action items in portal,Add the action items in an excel,U0877RUHX4M,2026-01-12,,2026-01-14,TCIL,BAU,Completed,,false,,0,4,1768494614,0,2026-01-15,2026-01-09
EcoVadis deck,Add gap analysis in a crisp manner from the exhaustive excel.,U0877RUHX4M,2026-01-12,,2026-01-16,TCIL,BAU,Completed,Link,false,,0,5,1768670069,0,2026-01-17,2026-01-09
Conduct Gap Assessment with maturity response,For gov and social,U0877RUHX4M,2026-01-12,,2026-01-16,PMI,BAU,Completed,,true,,0,5,1768805727,0,2026-01-17,2026-01-09
ADF report till oct,send env report,U06LK54V5EF,,,2026-01-08,ADF,BAU,Completed,,false,,0,2,1773223642,0,2026-01-08,2026-01-08
Infra Config,OSH Config for Infra,U06LK54V5EF,2026-01-06,,2026-01-09,Infra.Market,BAU,Completed,,false,,0,4,1767964752,0,2026-01-09,2026-01-06
Hetero Status,Link - Make a status like this for Hetero from the excel sheet that came on 05/01/2025 in the delivery channel.,U0A646RS20H,2026-01-06,,2026-01-06,Hetero,New,Completed,,true,U08MDDVKE1X,0,1.5,1769004001,0,2026-01-06,2026-01-06
Climate Risk,Start drafting report,U0877RUHX4M,2026-01-21,,2026-01-23,BSI,BAU,Completed,,true,,0,4,1769484169,0,2026-01-27,2026-01-04
OKR form Q3,,U0877RUHX4M,2026-01-05,,2026-01-05,Internal,BAU,Completed,,true,,0,1,1767699855,0,2026-01-06,2026-01-04
BRSR Monthly Monitoring,"Check and report data status for FY 2024-25
Follow ups daily 1 hour",U0877RUHX4M,2026-02-16,,2026-02-20,Infra.Market,BAU,Completed,,false,,0,3,1771518830,0,2026-02-19,2026-01-04
BRSR Monitoring,"Conduct training for RMC,  Check data status",U0877RUHX4M,2026-01-26,,2026-02-04,Infra.Market,BAU,Completed,,true,,0,3,1770609599,0,2026-02-06,2026-01-04
Croda Data Cleaning,Croda Dashboard and new set of PCF Data,U08MDDVKE1X,2026-01-05,,2026-01-08,Croda,BAU,Completed,,true,,0,4,1767961255,0,2026-01-09,2026-01-04
croda sheet sales 3,,U0A646RS20H,2026-01-02,,2026-01-02,Croda,New,Completed,,true,,0,0,1769004003,0,2026-01-06,2026-01-02
Q4 OKRs,Set Q4 OKR,UJ9KR034Z,2026-01-04,,2026-01-09,Internal,BAU,Completed,,true,"U0960SQTB25,UJ9KR034Z",0,3,1768893931,0,2026-01-20,2025-12-31
Cleaning Excel Sheets,Croda Purchase Data,U08MDDVKE1X,2025-12-31,,2026-01-02,Croda,BAU,Completed,,true,,0,3,1767358933,0,2026-01-02,2025-12-31
Slack Automation,Automate each entry,UJ9KR034Z,2025-12-31,,2025-12-31,Internal,New,Completed,,false,U0960SQTB25,0,2,1767171496,2,2025-12-31,2025-12-31
Review DMA doc,Link,U0960SQTB25,2025-12-29,,2026-03-31,Internal,BAU,Completed,,false,,0,0,1773827364,0,2026-03-18,2025-12-30
Materiality questions re-do for DMA,"Include scope, scale, irre, and likelihood for DMA",U0877RUHX4M,2026-01-05,,2026-01-14,MaxLife,BAU,Completed,,false,,0,4,1768494607,1,2026-01-15,2025-12-30
OSH configuration with Kabir,"BRSR only for HIML, send out mails to users post deployment",U0877RUHX4M,2026-01-05,,2026-01-09,Infra.Market,BAU,Completed,,false,,0,5,1768031050,0,2026-01-10,2025-12-30
Infra Training,Conduct Ops training,U06LK54V5EF,2025-12-30,,2025-12-30,Infra.Market,BAU,Completed,,false,,0,2,1767080637,0,,2025-12-30
Create Videos for TCIL,"Create videos on Basics of ESG, HSE",U06LK54V5EF,2026-01-01,,2026-02-19,TCIL,New,Completed,,false,,0,4,1771517234,0,2026-02-19,2025-12-30
Data Review - Hilton Goa,"• Review the data
• Plan a visit to JW Marriott",U08MDDVKE1X,2026-01-26,,2026-01-30,Ventive,BAU,Completed,,true,,0,3,1769771287,0,2026-01-30,2025-12-29
Deeyar IR,Final Changes,U08MDDVKE1X,2026-02-09,,2026-02-12,Deeyar Group,BAU,Completed,,true,,0,2,1770985910,0,2026-02-13,2025-12-29
Deeyar Report Development,Review of the filled Data or followup mails,U08MDDVKE1X,2026-01-12,,2026-01-29,Deeyar Group,BAU,Completed,,true,,0,1,1769778172,0,2026-01-30,2025-12-29
Deeyar IR,Draft Deeyar Report,U08MDDVKE1X,2026-02-02,,2026-02-06,Deeyar Group,BAU,Completed,,true,,0,6,1771584741,0,2026-02-20,2025-12-29
Custom GPT Test,Aram Report,U08MDDVKE1X,2026-01-20,,2026-01-23,Aram,New,Completed,,true,,0,1.75,1769174040,0,2026-01-23,2025-12-29
Aram Report Development,Review of the filled Data.,U08MDDVKE1X,2026-01-12,,2026-01-15,Aram,BAU,Completed,,true,,0,2,1768740294,0,2026-01-18,2025-12-29
Aram Data Review - Drafted 2 sections,"• Operations , HR Data review and Follow up mails for pending data
• Collect Data
• Fill the pending data from PY reports.",U08MDDVKE1X,2026-01-05,,2026-01-23,Aram,BAU,Completed,,true,,0,3,1769174025,0,2026-01-23,2025-12-29
Supplier Engagement,Follow Up Mail and Calls,U08MDDVKE1X,2026-01-05,,2026-01-09,Hetero,BAU,Completed,,true,,0,1,1767961264,0,2026-01-09,2025-12-29
"Training - Human Rights, ESG","Basics Of ESG , Human Rights Training - PPT Creation",U08MDDVKE1X,2026-01-20,,2026-02-19,Ventive,New,Completed,Link,true,U0960SQTB25,0,3.5,1771584756,0,2026-02-20,2025-12-29
Send data anomaly report,Send data anomaly report to all clients,U06LK54V5EF,2026-01-21,,2026-02-10,Internal,New,Completed,,false,,0,3,1770781965,0,2026-02-11,2025-12-29
Follow up with Sneha,Follow up with Sneha for training data,U06LK54V5EF,2026-01-05,,2026-03-23,Indoco,BAU,Yet to start,,false,,0,0.05,1774197670,0,,2025-12-29
Update project plans,Update project plans for all clients,U06LK54V5EF,2026-01-26,,2026-01-30,Internal,BAU,Completed,,false,,0,4,1768988534,0,2026-01-21,2025-12-29
Materiality Assessment,Understand Materiality Assessment scoring mechanism,U06LK54V5EF,2026-01-26,,2026-01-28,Internal,New,Completed,,false,,0,3,1767588511,0,2026-01-05,2025-12-29
Create CSV dashboard,Create a dashboard using CSV file,U0A646RS20H,2026-01-19,,2026-01-23,Internal,New,Completed,,false,,0,5,1773716113,0,2026-03-17,2025-12-29
Emmbi Data status,Check EMMBI data status and send status report,U0A646RS20H,2026-01-02,,2026-01-20,Emmbi Industries,BAU,Completed,,false,,0,0.3,1773716078,0,2026-03-17,2025-12-29
Arene Data status,Check Arene data status and send status report,U0A646RS20H,2026-01-02,,2026-01-20,Arene,BAU,Completed,,false,,0,0.3,1773716055,0,2026-03-17,2025-12-29
Rustomjee Data status,Check Rustomjee data status and send status report,U0A646RS20H,2026-01-12,,2026-01-21,Rustomjee,BAU,Completed,,false,,0,0.5,1773716115,0,2026-03-17,2025-12-29
IIT B submissions,,U0877RUHX4M,2025-12-29,,2026-01-02,IIT Bombay,BAU,Completed,,true,,0,16,1767625330,0,,2025-12-29
Infra training - Metal,Ops,U0877RUHX4M,2025-12-30,,2025-12-30,Infra.Market,BAU,Completed,,true,,0,1.5,1767625331,0,,2025-12-29
Infra sociam training,To understand business - if they have ops data,U0877RUHX4M,2025-12-22,,2025-12-23,Infra.Market,BAU,Completed,,true,,0,1,1767625332,0,,2025-12-23
Ventive - Meeting and Follow Up,"Oakwood Meeting , PY Data and Follow up mail",U08MDDVKE1X,,,2025-12-23,Ventive,BAU,Completed,,true,,0,3,1766493342,0,,2025-12-22
Hetero Mail,,U08MDDVKE1X,,,2025-12-23,Hetero,BAU,Completed,,true,,0,0.5,1766462917,0,,2025-12-22
Ecovadis gap,complete rest sections,U0877RUHX4M,2025-12-23,,2025-12-26,TCIL,BAU,Completed,,true,,0,5,1767625287,0,,2025-12-21
QCB requirements,Create responses and discuss with client,U0877RUHX4M,2025-12-29,,2026-01-14,BSI Qatar,BAU,Completed,,false,,0,5,1768494609,0,2026-01-15,2025-12-21
ADP GRI Config,Configure OSH for ADP GRI,U06LK54V5EF,2025-12-19,,2025-12-19,Abu Dhabi Precast,BAU,Completed,,false,,0,3,1773223645,0,,2025-12-18
PSP Config,,U06LK54V5EF,2025-12-18,,2025-12-22,PSP,BAU,Completed,,false,,0,1,1773715706,0,2026-03-17,2025-12-18
ADP Training,Provide training to users,U06LK54V5EF,2025-12-18,,2025-12-22,Abu Dhabi Precast,BAU,Completed,,false,,0,3,1766493380,0,,2025-12-18
Climate Risk,"Check Emirates NBD TCFD report, and list the requirements needed from BSI UAE",U0877RUHX4M,2025-12-22,,2026-01-23,BSI,BAU,Completed,,true,,0,5,1769181386,0,2026-01-23,2025-12-17
GRI OSH portal Review,"• Biodiversity
• Learn Icon 
• PPT
• Portal Integration",U08MDDVKE1X,,,2025-12-24,,,Completed,,true,,0,4,1766572864,0,,2025-12-15
Ventive Data Review - Monthly Monitoring,Email to properties or calls who have not filled in the data till December of Previous FY and this year till December.,U08MDDVKE1X,2026-01-05,,2026-01-08,Ventive,BAU,Completed,,true,,0,1.5,1767961227,0,2026-01-09,2025-12-15
Alliance Data Review 1,"• Operations , HR Data review and Follow up mails for pending data
• Collect Data",U08MDDVKE1X,2026-01-05,,2026-01-08,Alliance,BAU,Completed,,true,,0,2,1767961243,0,2026-01-09,2025-12-15
Deeyar Group - Platform Deployment and Training,,U08MDDVKE1X,,,2025-12-22,Deeyar Group,BAU,Completed,"• Training
• Platform Deployment",true,,0,2.5,1766462737,0,,2025-12-15
Aram Platform Deployment and Training,"• Training
• Platform Deployment",U08MDDVKE1X,,,2025-12-18,Aram,BAU,Completed,,true,,0,2.5,1766141612,0,,2025-12-15
Infra training’s ,"Wood, AAC, supply chain, legal",U0877RUHX4M,2025-12-15,,2025-12-19,Infra.Market,BAU,Completed,,true,,0,5,1767625333,0,,2025-12-15
IITB stars reporting ,Start reviewing and filling responses via templates ,U0877RUHX4M,2025-12-16,,2025-12-19,IIT Bombay,BAU,Completed,,true,,0,6,1767625287,0,,2025-12-15
GRI Report,Create GRI Report on OSH and document issues.,U06LK54V5EF,2025-12-22,,2026-01-12,Internal,New,Completed,,false,,0,8,1768535924,0,2026-01-16,2025-12-15
Hetero Status,Mail and Call,U08MDDVKE1X,,,2025-12-19,Hetero,BAU,Completed,,true,,0,0.5,1766141661,0,,2025-12-14
Ventive Review Meetings and Trainings,"Hilton Goa Trainings , Review meeting",U08MDDVKE1X,2025-12-16,,2025-12-18,Ventive,BAU,Completed,,true,,0,6,1773215344,0,,2025-12-14
Ventive Data Review,"Ventive - Conrad, Anantara, Doubletree, Hilton Goa
Review meeting and Trainings for PY data population",U08MDDVKE1X,2025-12-09,,2025-12-12,Ventive,,Completed,,true,,0,2.5,1765541805,0,,2025-12-12
"Calibre scope 1,2,3",,U0877RUHX4M,2025-12-10,,2025-12-12,Calibre,BAU,Completed,,true,,0,5,1767625277,0,,2025-12-12
Pratap snacks action items,"Share the name of assignees and reviewer with assigned questions and login status, share dummy login credentials, BRSR core update.",U06LK54V5EF,2025-12-10,,2025-12-10,Pratap Snacks,BAU,Completed,,false,,0,1,1773223582,0,,2025-12-10
Pratap snacks training,Provide OSH training,U06LK54V5EF,2025-12-01,,2025-12-09,Pratap Snacks,BAU,Completed,,false,,0,3,1773223656,0,,2025-12-09
